nome_blox,course_name,area_do_conhecimento,area_funcional,nota
ELETIVA I - RACIOCÍNIO LÓGICO E QUANTITATIVO,ADMINISTRACAO,Quantitativo,Raciocínio Lógico e Matemático,375.79999999999995
Engenharia: Profissão de Transformação,ENGENHARIA CIVIL,Técnico,Infraestrutura Civil,443.30000000000007
LIDERANÇA EMPRESARIAL,ADMINISTRACAO,Complementar,Gestão de Pessoas,717.2999999999997
De Eniac a SuperComputador,SISTEMAS DE INFORMAÇÃO,Técnico,Hardware e Redes,364.7000000000001
"Gerencie o seu projeto de forma Ágil ",SISTEMAS DE INFORMAÇÃO,Complementar,Tecnologia da Informação,225.8999999999999
Desenvolvendo Competências do Engenheiro,ENGENHARIA DE COMPUTAÇÃO,Básico,"Software, Programação e Dados",300.09999999999997
Desenho para Engenheiros - Parte 02,ENGENHARIA CIVIL,Técnico,Design e Modelagem,0
Calculando minhas probabilidades de ganhar sempre,ENGENHARIA DE COMPUTAÇÃO,Quantitativo,Raciocínio Lógico e Matemático,91.59999999999998
INGLÊS INSTRUMENTAL,ADMINISTRACAO,Básico,Sociedade e Mundo,383.8000000000001
Sistemas Operacionais: Indo Além,SISTEMAS DE INFORMAÇÃO,Complementar,"Software, Programação e Dados",208.8
Amante da Sabedoria,CIÊNCIAS CONTÁBEIS,Básico,Sociedade e Mundo,341.4
Explorando o Direito Aduaneiro,CIÊNCIAS CONTÁBEIS,Básico,Sociedade e Mundo,210.8
Aprovado em 8 Concursos Públicos: o que ele fez?,ADMINISTRACAO,Complementar,Sociedade e Mundo,254
Programação Avançada com Banco de Dados e Relatórios,SISTEMAS DE INFORMAÇÃO,Técnico,"Software, Programação e Dados",0
Empresas Competitivas,ADMINISTRACAO,Técnico,Tecnologia da Informação,433.50000000000006
Engenheiro Legal,ENGENHARIA CIVIL,Básico,Sociedade e Mundo,353.4999999999999
AS LEIS DE NEWTON FUNCIONAM NA PRÁTICA?,ENGENHARIA DE COMPUTAÇÃO,Técnico,Física e Química,250.5
"A Revolução Digital ",SISTEMAS DE INFORMAÇÃO,Técnico,Tecnologia da Informação,88.6
Economia II,CIÊNCIAS CONTÁBEIS,Técnico,Finanças e Economia,0
"Controlando as Finanças da Organização ",ADMINISTRACAO,Técnico,Finanças e Economia,0
CONTADOR RAIZ X CONTADOR NUTELA,ADMINISTRACAO,Técnico,Contabilidade,0
Macroeconomia para todos,ADMINISTRACAO,Básico,Finanças e Economia,352.7000000000001
"Array, Vetor ou Matriz?",SISTEMAS DE INFORMAÇÃO,Técnico,"Software, Programação e Dados",156.9
ADMINISTRAÇÃO DE RECURSOS HUMANOS II,ADMINISTRACAO,Técnico,Gestão de Pessoas,468.00000000000006
RECURSOS HUMANOS EM INFORMÁTICA (EAD),SISTEMAS DE INFORMAÇÃO,Complementar,Gestão de Pessoas,432.60000000000014
Levantando Informações e Requisitos para o seu Sof,SISTEMAS DE INFORMAÇÃO,Técnico,"Software, Programação e Dados",221.39999999999995
IMPACTANDO A SOCIEDADE COM A INFORMÁTICA,SISTEMAS DE INFORMAÇÃO,Técnico,Tecnologia da Informação,388.5000000000001
O Caminho da Organização,ADMINISTRACAO,Técnico,Estratégia e Negociação,244.30000000000007
A MATEMÁTICA DAS PIRÂMIDES DO EGITO,ENGENHARIA CIVIL,Quantitativo,Raciocínio Lógico e Matemático,302.49999999999994
Desenho para Engenheiros - Parte 01,ENGENHARIA CIVIL,Básico,Design e Modelagem,200.5
"Guarda Livros...Mas os Livros Sumiram!""",ADMINISTRACAO,Técnico,Contabilidade,288.40000000000003
Explorando o Direito Alfandegário,ADMINISTRACAO,Básico,Sociedade e Mundo,0
"INTELIGÊNCIA ARTIFICIAL, O SEU COMPUTADOR PODE PENSAR!",SISTEMAS DE INFORMAÇÃO,Técnico,"Software, Programação e Dados",371.7
Gerenciando Aplicações em Containers com Kubernetes,SISTEMAS DE INFORMAÇÃO,Complementar,"Software, Programação e Dados",118
ADMINISTRAÇÃO DA PRODUÇÃO,ADMINISTRACAO,Técnico,Produção,395.8000000000001
Informática Segundo as Leis,SISTEMAS DE INFORMAÇÃO,Técnico,Tecnologia da Informação,406.5
Equipe 100%,SISTEMAS DE INFORMAÇÃO,Técnico,Gestão de Pessoas,206.9
Mercado de capitais: Um passo para aplicar.,ADMINISTRACAO,Técnico,Finanças e Economia,0
CLUBE DA MATEMÁTICA,SISTEMAS DE INFORMAÇÃO,Quantitativo,Raciocínio Lógico e Matemático,58.5
CONVERSANDO COM OS RELATÓRIOS CONTÁBEIS,CIÊNCIAS CONTÁBEIS,Área de conhecimento desconhecido,Área funcional desconhecida,268.1
Eu Sei que Você pode Programar,SISTEMAS DE INFORMAÇÃO,Técnico,"Software, Programação e Dados",132.6
ADMINISTRAÇÃO MERCADOLÓGICA,ADMINISTRACAO,Técnico,Marketing,373.00000000000006
Economia,CIÊNCIAS CONTÁBEIS,Básico,Finanças e Economia,208.1
"Guarda Livros...Mas os Livros Sumiram!""",CIÊNCIAS CONTÁBEIS,Técnico,Contabilidade,335
EAD - Temas Emergentes,SISTEMAS DE INFORMAÇÃO,Técnico,Tecnologia da Informação,467
Profissionalize sua Empresa,CIÊNCIAS CONTÁBEIS,Técnico,Estratégia e Negociação,258.8
