nome_blox,status,nome_curso,Record Count,area_conhecimento
Até onde vai o impacto da inovação na educação,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),54,1
Medindo o desempenho em Gestão de Pessoas,cancelled,Extensão em Negócios e Inovação,54,1
O ciclo de vida de um projeto: do nascimento ao encerramento,cancelled,Pós-Graduação em Gestão Empresarial,54,1
Montando uma seleção excelente de profissionais,ongoing,Pós-Graduação em Controladoria e Finanças,54,1
Montando uma seleção excelente de profissionais,ongoing,Pós-Graduação em Gestão Estratégica de Pessoas,54,1
Sistemas operacionais para leigos,cancelled,Extensão em Negócios e Inovação,54,1
Projeto e planejamento escolar,cancelled,Extensão em Negócios e Inovação,54,1
Práticas de Mentoring,cancelled,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),54,1
Entendendo as relações trabalhistas,cancelled,Extensão em Negócios e Inovação,54,1
"Ética e Responsabilidade Social ",cancelled,Pós-Graduação em Gestão Estratégica de Pessoas,54,1
O que você precisa saber sobre Linguagem SQL,ongoing,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),54,1
O que é Educação Básica?,cancelled,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),54,1
Aprender brincando: ludicidade e pensamento pedagógico,cancelled,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),54,1
Gestão contábil e financeira,cancelled,Extensão em Negócios e Inovação,52,1
Matemática Financeira: Análise financeira de Juros,ongoing,Pós-Graduação em Controladoria e Finanças,49,1
Matemática aplicada: conceitos fundamentais,cancelled,Extensão em Negócios e Inovação,48,1
O planejamento do ensino: preparando a aula,cancelled,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),48,1
Planejar para empreender! Plano de negócios e Modelo de negócios,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),48,1
Ferramentas para Educação Infantil,ongoing,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),48,1
Cidadão consciente promove o desenvolvimento,cancelled,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),48,1
"Ética e Responsabilidade Social ",cancelled,Pós-Graduação em Gestão Educacional e Novas Tecnologias,47,1
Matemática aplicada: Funções e equações,cancelled,Extensão em Negócios e Inovação,42,1
Comportamento organizacional,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),42,1
Criando projeto de estágio para educação infantil,ongoing,Extensão em Negócios e Inovação,42,1
Seja um coach,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),42,1
Desafios da EJA,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),42,1
Montando uma seleção excelente de profissionais,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),42,1
Tipos e modelos de organizações,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),42,1
Metodologias ágeis para desenvolvimento e melhoria de softwares,ongoing,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),42,1
Valorização profissional – Retenção de profissionais,cancelled,Pós-Graduação em Gestão Estratégica de Pessoas,36,1
Avaliações internas e externas na educação,cancelled,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),36,1
Entendendo Banco de Dados,cancelled,Extensão em Negócios e Inovação,36,1
Seja um coach,cancelled,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),36,1
O que é Educação Infantil?,cancelled,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),36,1
Metodologias ágeis para desenvolvimento e melhoria de softwares,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),36,1
O que é conhecimento?,cancelled,Extensão em Negócios e Inovação,36,1
Os desafios da prática pedagógica no ensino da língua escrita,ongoing,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),36,1
Como é o planejamento pedagógico?,cancelled,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),36,1
Valorização profissional – Retenção de profissionais,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),36,1
Como funciona a EJA?,cancelled,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),30,1
O planejamento do ensino: preparando a aula,cancelled,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),30,1
Criando projeto de estágio para educação infantil,ongoing,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),30,1
Logística e a movimentação de materiais,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),30,1
Cidadão consciente promove o desenvolvimento,cancelled,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),30,1
Como aprendemos: Teorias de Aprendizagem,cancelled,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),30,1
O comportamento humano,pending,Extensão em Negócios e Inovação,30,1
Indicadores financeiros básicos,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),30,1
Tudo que você precisa saber sobre logística reversa,ongoing,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),30,1
"Conceitos de linguagem e comunicação: fala, escrita e técnicas de leitura",cancelled,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),30,1
"Conceitos de linguagem e comunicação: fala, escrita e técnicas de leitura",pending,Extensão em Negócios e Inovação,30,1
Como funciona a EJA?,cancelled,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),30,1
Introdução a Sistemas de Informação e Comunicação,cancelled,Extensão em Negócios e Inovação,30,1
Gestão de Compras,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),30,1
Competitividade de mercado,cancelled,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),30,1
Logística e a movimentação de materiais,cancelled,Extensão em Negócios e Inovação,30,1
Inovar para o sucesso!,pending,Extensão em Negócios e Inovação,30,1
Juros e Empréstimos: a avaliação financeira de um projeto,ongoing,Pós-Graduação em Controladoria e Finanças,29,1
Passo a passo da Gestão Estratégica de Vendas,ongoing,Pós-Graduação em Controladoria e Finanças,29,1
Comportamento organizacional,cancelled,Pós-Graduação em Gestão Educacional e Novas Tecnologias,28,1
Planejar para empreender! Plano de negócios e Modelo de negócios,ongoing,Pós-Graduação em Gestão Estratégica de Pessoas,27,1
Mãos na massa! – Ferramentas para Criatividade e Inovação,cancelled,Pós-Graduação em Gestão Empresarial,27,1
Business Intelligence e Analytics,cancelled,Pós-Graduação em Gestão Empresarial,27,1
Metodologias ativas em que o aluno é protagonista do aprendizado,cancelled,Pós-Graduação em Gestão Empresarial,27,1
Medindo o desempenho em Gestão de Pessoas,ongoing,Pós-Graduação em Controladoria e Finanças,27,1
