,materia,a.conhecimento
1435,Formação de Equipes e Liderança,Psicologia e Desenvolvimento Pessoal
1436,Direito Tributário,Direito
1437,Pesquisa Operacional,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1438,Administração Financeira,Negócios e Administração
1439,Planejamento Estratégico,Negócios e Administração
1440,Gestão Estratégica de Pessoas,Negócios e Administração
1441,Análise de Conjuntura Econômica,"Ciências Sociais, Jornalismo e Informação"
1442,Linguagem de Programação,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1443,Gestão de Vendas e Trade Marketing,Negócios e Administração
1444,Mercado de Capitais,Negócios e Administração
1445,Projeto Monográfico,Educação
1446,Estruturas de Governança e Sucessão,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1447,Gestão da Inovação,Negócios e Administração
1448,TCC I,programas genericos
1449,Orçamento Empresarial e Captação de Recursos,Negócios e Administração
1450,Gestão de E-Business,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1451,Cibercultura,Educação
1452,Processo Criativo,"Humanidades, Artes e Linguagens"
1453,Mercado Publicitário,Negócios e Administração
1454,"Comunicação, Cultura e Poder",Negócios e Administração
1455,História da Arte,"Humanidades, Artes e Linguagens"
1456,Teorias da Comunicação,"Engenharia, Produção e Construção"
1457,História Contemporânea do Brasil,"Humanidades, Artes e Linguagens"
1458,Arte e Tecnologia,"Engenharia, Produção e Construção"
1459,Desenho Digital,"Humanidades, Artes e Linguagens"
1460,Ética e Legislação,Direito
1461,Promoções e Incentivos,Educação
1462,Introdução à Fotografia,"Humanidades, Artes e Linguagens"
1463,Pontos de Contato,Educação
1464,Planejamento e Atendimento,Saúde e Bem-Estar Social
1465,Produção Audiovisual I,"Humanidades, Artes e Linguagens"
1466,Fotografia Publicitária,Negócios e Administração
1467,Storytelling e Transmídia,Educação
1468,Produção de Som,"Humanidades, Artes e Linguagens"
1469,Mobilidade e Aplicativos,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1470,Gestão de Marcas,Negócios e Administração
1471,Comunicação e Responsabilidade Social,"Humanidades, Artes e Linguagens"
1472,Linguagem Visual,"Humanidades, Artes e Linguagens"
1473,Projeto I - Princípios da Comunicação Visual e da Moda,"Humanidades, Artes e Linguagens"
1474,Desenho Técnico,"Engenharia, Produção e Construção"
1475,Desenho Livre,"Humanidades, Artes e Linguagens"
1476,Desenho Digital Aplicado,"Engenharia, Produção e Construção"
1477,Fotografia,"Humanidades, Artes e Linguagens"
1478,Fundamentos de Ergonomia,"Engenharia, Produção e Construção"
1479,Cor e Composição,"Humanidades, Artes e Linguagens"
1480,"Moda, Arte e Tecnologia","Humanidades, Artes e Linguagens"
1481,Semiótica Aplicada ao Design,"Humanidades, Artes e Linguagens"
1482,Tipografia,Educação
1483,"Moda, Comunicação e Digitalidades","Humanidades, Artes e Linguagens"
1484,Fotografia de Moda,"Humanidades, Artes e Linguagens"
1485,Web Design,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1486,Ética e Legislação do Design,"Humanidades, Artes e Linguagens"
1487,Imagem em Movimento,"Humanidades, Artes e Linguagens"
1488,After Effects,Educação
1489,Produção de Moda,"Humanidades, Artes e Linguagens"
1490,Varejo de Moda e Merchandising,Negócios e Administração
1491,Forecasting e Coolhunting,Educação
1492,Design Multisensorial e Sustentabilidade,"Engenharia, Produção e Construção"
1493,Estratégias Narrativas Audiovisuais,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1494,Introdução ao Jornalismo,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1495,História do Jornalismo,"Humanidades, Artes e Linguagens"
1496,Ciência Política,"Humanidades, Artes e Linguagens"
1497,Técnicas de Apuração e Redação Jornalística,programas genericos
1498,Rádio e Mídias Sonoras I,"Ciências Sociais, Jornalismo e Informação"
1499,Ética Jornalística,"Ciências Sociais, Jornalismo e Informação"
1500,Produção em Mídias Digitais,"Engenharia, Produção e Construção"
1501,Produção de Jornalismo de Audiovisual I,"Humanidades, Artes e Linguagens"
1502,Comunicação Corporativa e Assessoria de Imprensa,Negócios e Administração
1503,Fotojornalismo,Educação
1504,Interfaces Gráficas e Digitais,"Humanidades, Artes e Linguagens"
