,materia,a.conhecimento
6482,Sub Módulo - Web,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6483,Sub Módulo - Ilustração e Pintura Digital,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6484,Sub Módulo - Percepção,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6485,Sub Módulo - Semiótica,Educação
6486,Sub Módulo - Teoria e Aplicação da Cor,"Humanidades, Artes e Linguagens"
6487,Sub Módulo - Criação de Fontes,"Engenharia, Produção e Construção"
6488,Sub Módulo - Projeto Editorial,Educação
6489,Sub Módulo - Tipografia II,Educação
6490,Sub Módulo - Edição de Vídeo,Educação
6491,Sub Módulo - Animação em 3D,Educação
6492,Sub Módulo-Hist. em Quadrinho/Storyboard/Int. Animatic,Educação
6493,Sub Módulo - Desenho Livre/Anatomia,"Engenharia, Produção e Construção"
6494,Sub Módulo - Desenho Técnico/Geometria,"Engenharia, Produção e Construção"
6495,Sub Módulo - Representação Digital,"Engenharia, Produção e Construção"
6496,Sub Módulo - Estrutura de Personagem,"Engenharia, Produção e Construção"
6497,Sub Módulo - Esculturas Digitais,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6498,Sub Módulo - Modelagem de Personagem,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6499,Comunicação e Linguagem,Programas Interdisciplinares
6500,Filosofia,"Humanidades, Artes e Linguagens"
6501,Fundamentos de Economia,"Ciências Sociais, Jornalismo e Informação"
6502,História da Arte,"Humanidades, Artes e Linguagens"
6503,Princípios da Animação,"Humanidades, Artes e Linguagens"
6504,Projeto I (Fundamentos),programas genericos
6505,História em Quadrinhos,"Humanidades, Artes e Linguagens"
6506,Pintura Digital,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6507,Estilos e Técnicas de Animação,"Humanidades, Artes e Linguagens"
6508,Roteiro,Educação
6509,Storyboard,Educação
6510,Fotografia,"Humanidades, Artes e Linguagens"
6511,Fundamentos de Marketing,Negócios e Administração
6512,História do Design,"Humanidades, Artes e Linguagens"
6513,Linguagem Visual,"Humanidades, Artes e Linguagens"
6514,Projeto II,Educação
6515,Processos de Produção,"Engenharia, Produção e Construção"
6516,Tipografia,Educação
6517,Acting e Animação 2D,"Humanidades, Artes e Linguagens"
6518,Animatic,Educação
6519,Introdução à Modelagem 3D,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6520,Cor e Percepção,"Humanidades, Artes e Linguagens"
6521,Marketing Estratégico,Negócios e Administração
6522,Projeto III,Educação
6523,Semiótica,"Humanidades, Artes e Linguagens"
6524,Ergonomia,"Engenharia, Produção e Construção"
6525,Projeto IV - Comunicação Visual,"Humanidades, Artes e Linguagens"
6526,Representação 3D,"Engenharia, Produção e Construção"
6527,Sustentabilidade,Ciências Naturais
6528,Animação 3D,"Humanidades, Artes e Linguagens"
6529,Escultura tradicional,Educação
6530,Projeto IV - Animação,"Humanidades, Artes e Linguagens"
6531,Branding,Educação
6532,Finanças Aplicadas de Mercado,Negócios e Administração
6533,Design Interação e Experiência (UX),"Engenharia, Produção e Construção"
6534,Projeto V - Comunicação Visual,"Humanidades, Artes e Linguagens"
6535,Introdução ao Rigging,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6536,Projeto V - Animação,"Humanidades, Artes e Linguagens"
6537,Estágio Supervisionado I,programas genericos
6538,Ética e Legislação,Direito
6539,Antropologia Visual,Negócios e Administração
6540,Projeto VI - Comunicação Visual,"Humanidades, Artes e Linguagens"
6541,Projeto VI - Animação,"Humanidades, Artes e Linguagens"
6542,Rigging e Expressões Faciais,Educação
6543,Estágio Supervisionado II,programas genericos
6544,TCC PGD I,programas genericos
6545,TCC PGD II,programas genericos
6546,Tópicos Avançados I,"Engenharia, Produção e Construção"
6547,TCC PGD III,programas genericos
6548,Tópicos Avançados II,"Engenharia, Produção e Construção"
6549,Comunicação e Práticas do Consumo,"Ciências Sociais, Jornalismo e Informação"
6550,Desenho de Observação,"Humanidades, Artes e Linguagens"
6551,Desenho Técnico,"Engenharia, Produção e Construção"
6552,Representação Digital,programas genericos
6553,Laboratório de Apredizagem,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6554,Criatividade,Educação
6555,Pensamento Científico,programas genericos
6556,Saúde Financeira,Negócios e Administração
6557,Lógica e Visualização de Dados,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6558,Raciocínio Computacional,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6559,"Propósito, Carreira e Autorrealização",Ciências Naturais
6560,Apresentação de Ideias e Projetos,"Agricultura, Silvicultura, Pesca e Veterinária"
6561,Artes,"Humanidades, Artes e Linguagens"
6562,Liderança e Trabalho Multicultural,Negócios e Administração
6563,Empreendedorismo,Negócios e Administração
6564,Linguagem Visual,"Humanidades, Artes e Linguagens"
6565,Filosofia,"Humanidades, Artes e Linguagens"
6566,Fundamentos de Economia,"Ciências Sociais, Jornalismo e Informação"
6567,História da Arte,"Humanidades, Artes e Linguagens"
6568,Projeto Inicial (Livre),"Engenharia, Produção e Construção"
6569,Fundamentos de Gráfica,programas genericos
6570,Comunicação e Linguagem I,Programas Interdisciplinares
6571,História do Design,"Humanidades, Artes e Linguagens"
6572,Fotografia,"Humanidades, Artes e Linguagens"
6573,Marketing I,Negócios e Administração
6574,Projeto II (Identidade),Educação
6575,Finanças I,Negócios e Administração
6576,Comunicação e Linguagem II,Programas Interdisciplinares
6577,Ergonomia,"Engenharia, Produção e Construção"
6578,Produção Gráfica,"Humanidades, Artes e Linguagens"
6579,Marketing II,Negócios e Administração
6580,Projeto III (Cultura e Informação),"Humanidades, Artes e Linguagens"
6581,Estágio Supervisionado I,programas genericos
6582,Finanças II,Negócios e Administração
6583,Semiótica Aplicada ao Design,"Humanidades, Artes e Linguagens"
6584,Marketing III,Negócios e Administração
6585,Projeto IV (Mundo Virtual),Educação
6586,Ética e Legislação,Direito
6587,Estágio Supervisionado II,programas genericos
6588,Psicologia do Consumo,Psicologia e Desenvolvimento Pessoal
6589,Projeto V (Lúdico),Educação
6590,Branding,Educação
6591,Imagem em Movimento,"Humanidades, Artes e Linguagens"
6592,Design Comparado,"Humanidades, Artes e Linguagens"
6593,Projeto VI (Ambiental),"Agricultura, Silvicultura, Pesca e Veterinária"
6594,Finanças III,Negócios e Administração
6595,Antropologia,"Ciências Sociais, Jornalismo e Informação"
6596,Marketing IV,Negócios e Administração
6597,Projeto VII A (PGD I),Educação
6598,Projeto VII B (PGD II),Educação
6599,Arte e Tecnologia (Conceitual e Expressão Digital),"Engenharia, Produção e Construção"
6600,Módulo Representação I: Sub Módulo Digital,"Engenharia, Produção e Construção"
6601,Módulo Representação I: Sub Módulo Geométrico/Técnico,"Engenharia, Produção e Construção"
6602,Módulo Representação I: Sub Módulo Observação e Livre Expressão,"Engenharia, Produção e Construção"
6603,Módulo Cor e Percepção,"Humanidades, Artes e Linguagens"
6604,Módulo Design de Interação,"Engenharia, Produção e Construção"
6605,Módulo Computação Gráfica: Sub Módulo Tipografia Digital,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6606,Módulo Computação Gráfica: Sub Módulo Portifólio Impresso,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6607,Módulo Computação Gráfica: Sub Módulo Portifólio Digital,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6608,Módulo Imagem Eletrônica 3D: Sub Módulo Modelagem,"Engenharia, Produção e Construção"
6609,Módulo Imagem Eletrônica 3D: Sub Módulo Animação,"Engenharia, Produção e Construção"
6610,Módulo Imagem Eletrônica 3D: Sub Módulo Rendering,"Engenharia, Produção e Construção"
6611,Módulo Temas Repertoriais em Design e Marketing,Negócios e Administração
6612,Design Estratégico,"Humanidades, Artes e Linguagens"
6613,Design de Embalagem,"Humanidades, Artes e Linguagens"
6614,Módulo English Seminars,"Engenharia, Produção e Construção"
6615,Módulo Representação II: Sub Módulo Infografia,"Engenharia, Produção e Construção"
6616,Módulo Representação II: Sub Módulo Técnicas de Ilustração,"Engenharia, Produção e Construção"
6617,Módulo Tipografia: Sub Módulo Tipografia Aplicada,"Engenharia, Produção e Construção"
6618,Módulo Tipografia: Sub Módulo Desenho de Fontes,"Engenharia, Produção e Construção"
6619,Linguagem Visual,"Humanidades, Artes e Linguagens"
6620,Filosofia,"Humanidades, Artes e Linguagens"
6621,Fundamentos de Economia,"Ciências Sociais, Jornalismo e Informação"
6622,História da Arte,"Humanidades, Artes e Linguagens"
6623,Projeto Inicial (Livre),"Engenharia, Produção e Construção"
6624,Fundamentos de Gráfica,programas genericos
6625,Comunicação e Linguagem I,Programas Interdisciplinares
6626,História do Design,"Humanidades, Artes e Linguagens"
6627,Fotografia,"Humanidades, Artes e Linguagens"
6628,Marketing I,Negócios e Administração
6629,Projeto II (Identidade),Educação
6630,Estágio Supervisionado I,programas genericos
6631,Finanças II,Negócios e Administração
6632,Semiótica Aplicada ao Design,"Humanidades, Artes e Linguagens"
6633,Marketing III,Negócios e Administração
6634,Projeto IV (Mundo Virtual),Educação
6635,Ética e Legislação,Direito
6636,Estágio Supervisionado II,programas genericos
6637,Projeto V (Lúdico),Educação
6638,Branding,Educação
6639,Imagem em Movimento,"Humanidades, Artes e Linguagens"
6640,Design Comparado,"Humanidades, Artes e Linguagens"
6641,Projeto VI (Ambiental),"Agricultura, Silvicultura, Pesca e Veterinária"
6642,Psicologia do Consumo,Psicologia e Desenvolvimento Pessoal
6643,Antropologia,"Ciências Sociais, Jornalismo e Informação"
6644,Marketing IV,Negócios e Administração
6645,Projeto VII A (PGD I),Educação
6646,Estudos Dirigidos em PGD I,programas genericos
6647,Design Estratégico,"Humanidades, Artes e Linguagens"
6648,Projeto VII B (PGD II),Educação
6649,Arte e Tecnologia (Conceitual e Expressão Digital),"Engenharia, Produção e Construção"
6650,Módulo Representação I: Sub Módulo Digital,"Engenharia, Produção e Construção"
6651,Módulo Representação I: Sub Módulo Geométrico/Técnico,"Engenharia, Produção e Construção"
6652,Módulo Representação I: Sub Módulo Observação e Livre Expressão,"Engenharia, Produção e Construção"
6653,Módulo Cor e Percepção,"Humanidades, Artes e Linguagens"
6654,Módulo Design de Interação,"Engenharia, Produção e Construção"
6655,Módulo Imagem Eletrônica 3D: Sub Módulo Modelagem,"Engenharia, Produção e Construção"
6656,Módulo Imagem Eletrônica 3D: Sub Módulo Animação,"Engenharia, Produção e Construção"
6657,Módulo Imagem Eletrônica 3D: Sub Módulo Rendering,"Engenharia, Produção e Construção"
6658,Módulo Temas Repertoriais em Design e Marketing,Negócios e Administração
6659,Módulo Design Publicação e Portfólio: Sub Módulo Portfólio Digital,"Engenharia, Produção e Construção"
6660,Módulo Design Publicação e Portfólio: Sub Módulo Portfólio Impresso,"Engenharia, Produção e Construção"
6661,Módulo English Seminars,"Engenharia, Produção e Construção"
6662,Módulo Representação II: Sub Módulo Infografia,"Engenharia, Produção e Construção"
6663,Módulo Representação II: Sub Módulo Técnicas de Ilustração,"Engenharia, Produção e Construção"
6664,Módulo Tipografia: Sub Módulo Tipografia Aplicada,"Engenharia, Produção e Construção"
6665,Módulo Tipografia: Sub Módulo Desenho de Fontes,"Engenharia, Produção e Construção"
6666,Módulo Tipografia Digital,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6667,Linguagem Visual,"Humanidades, Artes e Linguagens"
6668,Filosofia,"Humanidades, Artes e Linguagens"
6669,Fundamentos de Economia,"Ciências Sociais, Jornalismo e Informação"
6670,História da Arte,"Humanidades, Artes e Linguagens"
6671,Projeto Inicial (Livre),"Engenharia, Produção e Construção"
6672,Linguagem Visual,"Humanidades, Artes e Linguagens"
6673,Filosofia,"Humanidades, Artes e Linguagens"
6674,Fundamentos de Economia,"Ciências Sociais, Jornalismo e Informação"
6675,História da Arte,"Humanidades, Artes e Linguagens"
6676,Projeto Inicial (Livre),"Engenharia, Produção e Construção"
6677,Fundamentos de Gráfica,programas genericos
6678,Comunicação e Linguagem I,Programas Interdisciplinares
6679,História do Design,"Humanidades, Artes e Linguagens"
6680,Fotografia,"Humanidades, Artes e Linguagens"
6681,Marketing I,Negócios e Administração
6682,Projeto II (Identidade),Educação
6683,Fundamentos de Gráfica,programas genericos
6684,Comunicação e Linguagem I,Programas Interdisciplinares
6685,História do Design,"Humanidades, Artes e Linguagens"
6686,Fotografia,"Humanidades, Artes e Linguagens"
6687,Marketing I,Negócios e Administração
6688,Projeto II (Identidade),Educação
6689,Finanças I,Negócios e Administração
6690,Comunicação e Linguagem II,Programas Interdisciplinares
6691,Ergonomia,"Engenharia, Produção e Construção"
6692,Produção Gráfica,"Humanidades, Artes e Linguagens"
6693,Marketing II,Negócios e Administração
6694,Projeto III (Cultura e Informação),"Humanidades, Artes e Linguagens"
6695,Finanças I,Negócios e Administração
6696,Comunicação e Linguagem II,Programas Interdisciplinares
6697,Ergonomia,"Engenharia, Produção e Construção"
6698,Produção Gráfica,"Humanidades, Artes e Linguagens"
6699,Marketing II,Negócios e Administração
6700,Projeto III (Cultura e Informação),"Humanidades, Artes e Linguagens"
6701,Estágio Supervisionado I,programas genericos
6702,Finanças II,Negócios e Administração
6703,Semiótica Aplicada ao Design,"Humanidades, Artes e Linguagens"
